name,full_name,topics,description,created_at,stargazers_count,forks_count,license,days_since_created,avg_forks_per_day,avg_stars_per_day,categories
WasmEdge,WasmEdge/WasmEdge,"artificial-intelligence, cloud, cloud-native, cncf, container, docker, edge-computing, ewasm, hacktoberfest, hacktoberfest2023, kubernetes, rust-lang, serverless, wasm, webassembly","WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",2019-11-29,7882,697,Apache License 2.0,1593,0.0,5.0,Applications
promptflow,microsoft/promptflow,"ai, ai-application-development, ai-applications, chatgpt, gpt, llm, prompt, prompt-engineering","Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.",2023-06-30,7880,641,MIT License,284,2.0,28.0,Applications
prompt-engineering,brexhq/prompt-engineering,no topic,Tips and tricks for working with Large Language Models like OpenAI's GPT-4.,2023-04-21,7832,351,MIT License,354,1.0,22.0,Tutorials
minbpe,karpathy/minbpe,no topic,"Minimal, clean code for the Byte Pair Encoding (BPE) algorithm commonly used in LLM tokenization.",2024-02-16,7811,671,MIT License,53,13.0,147.0,Model development
TypeChat,microsoft/TypeChat,"ai, llm, natural-language, types",TypeChat is a library that makes it easy to build natural language interfaces using types.,2023-06-20,7732,362,MIT License,294,1.0,26.0,Model development
deeplake,activeloopai/deeplake,"ai, computer-vision, cv, data-science, data-version-control, datalake, datasets, deep-learning, image-processing, langchain, large-language-models, llm, machine-learning, ml, mlops, python, pytorch, tensorflow, vector-database, vector-search","Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",2019-08-09,7659,583,Mozilla Public License 2.0,1705,0.0,4.0,Infrastructure
marker,VikParuchuri/marker,no topic,Convert PDF to markdown quickly with high accuracy,2023-10-30,7631,291,GNU General Public License v3.0,162,2.0,47.0,Applications
ai,vercel/ai,"artificial-intelligence, generative-ai, generative-ui, huggingface, javascript, language-model, llm, nextjs, openai, react, solidjs, svelte, typescript, vercel, vue","Build AI-powered applications with React, Svelte, Vue, and Solid",2023-05-23,7487,959,Other,322,3.0,23.0,Applications
awesome-project-ideas,NirantK/awesome-project-ideas,"awesome, awesome-list, classification, dataset, deep-learning, forecasting, image-classification, machine-learning, multi-label-classification, series-forecasting","Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas",2017-08-19,7466,1215,MIT License,2425,1.0,3.0,Lists
litellm,BerriAI/litellm,"anthropic, langchain, langchain-python, llm, llmops, openai","Call all LLM APIs using the OpenAI format. Use Bedrock, Azure, OpenAI, Cohere, Anthropic, Ollama, Sagemaker, HuggingFace, Replicate (100+ LLMs)",2023-07-27,7423,816,Other,257,3.0,29.0,Model repo
jetson-inference,dusty-nv/jetson-inference,"caffe, computer-vision, deep-learning, digits, embedded, image-recognition, inference, jetson, jetson-nano, jetson-tx1, jetson-tx2, jetson-xavier, jetson-xavier-nx, machine-learning, nvidia, object-detection, robotics, segmentation, tensorrt, video-analytics",Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,2016-07-30,7269,2903,MIT License,2810,1.0,3.0,Tutorials
chatgpt_system_prompt,LouisShark/chatgpt_system_prompt,"gpt, prompt, prompt-engineering",A collection of GPT system prompts and various prompt injection/leaking knowledge.,2023-11-01,7241,1063,MIT License,160,7.0,45.0,Model repo
starcoder,bigcode-project/starcoder,no topic,Home of StarCoder: fine-tuning & inference!,2023-04-24,7069,494,Apache License 2.0,351,1.0,20.0,Model development
nicegui,zauberzeug/nicegui,"frontend, gui, interaction, interface, interfaces, python, robotics, scripting, toolkit, webapp, website",Create web-based user interfaces with Python. The nice way.,2021-05-07,7046,427,MIT License,1068,0.0,7.0,Tutorials
activepieces,activepieces/activepieces,"automation, automation-tools, business-automation, datasources, enterprise-automation, hacktoberfest, integrations, llm, low-code, n8n, no-code, self-hosted, typescript, workato, workflow, workflow-automation, zapier",Your friendliest open source all-in-one automation tool ✨ Workflow automation tool 100+ integration / Enterprise automation tool / Zapier Alternative,2022-12-03,6993,747,Other,493,2.0,14.0,Model repo
txtai,neuml/txtai,"embeddings, information-retrieval, language-model, large-language-models, llm, machine-learning, neural-search, nlp, python, rag, retrieval-augmented-generation, search, search-engine, semantic-search, sentence-embeddings, transformers, txtai, vector-database, vector-search, vector-search-engine","💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows",2020-08-09,6873,486,Apache License 2.0,1339,0.0,5.0,Model repo
PowerInfer,SJTU-IPADS/PowerInfer,"bamboo-7b, falcon, large-language-models, llama, llm, llm-inference, local-inference",High-speed Large Language Model Serving on PCs with Consumer-grade GPUs,2023-12-15,6870,361,MIT License,116,3.0,59.0,Model development
burn,tracel-ai/burn,"autodiff, autotune, concurrency, cross-platform, deep-learning, high-performance, kernel-fusion, llm, machine-learning, ndarray, neural-network, onnx, pytorch, rust, scientific-computing, tensor, wasm, webgpu","Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute efficiency and portability as its primary goals.",2022-07-18,6832,303,Apache License 2.0,631,0.0,11.0,Model development
search_with_lepton,leptonai/search_with_lepton,"ai, ai-applications, leptonai, llm",Building a quick conversation-based search demo with Lepton AI.,2024-01-23,6775,793,Apache License 2.0,77,10.0,88.0,Applications
data-scientist-roadmap,MrMimic/data-scientist-roadmap,no topic,"Toturials coming with the ""data science roadmap"" picture.",2017-06-05,6757,1879,GNU General Public License v3.0,2500,1.0,3.0,Tutorials
gpt-migrate,joshpxyne/gpt-migrate,no topic,Easily migrate your codebase from one framework or language to another.,2023-06-24,6734,462,MIT License,290,2.0,23.0,Applications
Bert-VITS2,fishaudio/Bert-VITS2,"bert, bert-vits, bert-vits2, tts, vits, vits2",vits2 backbone with multilingual-bert,2023-07-29,6654,952,GNU Affero General Public License v3.0,255,4.0,26.0,Model repo
Chinese-LLaMA-Alpaca-2,ymcui/Chinese-LLaMA-Alpaca-2,"64k, alpaca, alpaca-2, alpaca2, flash-attention, large-language-models, llama, llama-2, llama2, llm, nlp, rlhf, yarn",中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models),2023-07-18,6649,536,Apache License 2.0,266,2.0,25.0,Model development
awesome-langchain,kyrolabs/awesome-langchain,"ai, awesome, awesome-list, langchain, llm",😎 Awesome list of tools and projects with the awesome LangChain framework,2023-02-28,6538,443,Creative Commons Zero v1.0 Universal,406,1.0,16.0,Lists
OpenNMT-py,OpenNMT/OpenNMT-py,"deep-learning, language-model, llms, machine-translation, neural-machine-translation, pytorch",Open Source Neural Machine Translation and (Large) Language Models in PyTorch,2017-02-22,6537,2227,MIT License,2603,1.0,3.0,Model repo
GPTCache,zilliztech/GPTCache,"aigc, autogpt, babyagi, chatbot, chatgpt, chatgpt-api, dolly, gpt, langchain, llama, llama-index, llm, memcache, milvus, openai, redis, semantic-search, similarity-search, vector-search",Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ,2023-03-24,6347,449,MIT License,382,1.0,17.0,Infrastructure
TensorRT-LLM,NVIDIA/TensorRT-LLM,no topic,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,2023-08-16,6266,624,Apache License 2.0,237,3.0,26.0,Model development
PentestGPT,GreyDGL/PentestGPT,"large-language-models, llm, penetration-testing, python",A GPT-empowered penetration testing tool,2023-02-27,6262,751,MIT License,407,2.0,15.0,Model development
vanna,vanna-ai/vanna,"agent, ai, data-visualization, database, llm, rag, sql, text-to-sql",🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,2023-05-13,6158,392,MIT License,332,1.0,19.0,Model development
streaming-llm,mit-han-lab/streaming-llm,no topic,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,2023-09-29,6127,348,MIT License,193,2.0,32.0,Model development
wenda,wenda-LLM/wenda,"chatglm-6b, chatrwkv, rwkv",闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题,2023-03-25,6067,781,GNU Affero General Public License v3.0,381,2.0,16.0,Model repo
learning,amitness/learning,"codecademy, datacamp, deep-learning, learning-resources, machine-learning, python, udacity",A log of things I'm learning,2017-11-26,6061,818,MIT License,2326,0.0,3.0,Lists
openplayground,nat/openplayground,no topic,An LLM playground you can run on your laptop,2023-02-26,6051,465,MIT License,408,1.0,15.0,Applications
opengpts,langchain-ai/opengpts,no topic,,2023-11-04,6024,747,MIT License,157,5.0,38.0,Unknown
E2B,e2b-dev/E2B,"agent, ai, ai-agent, ai-agents, code-interpreter, copilot, development, devtools, gpt, gpt-4, javascript, llm, nextjs, openai, python, react, software, typescript",Cloud Runtime for AI Agents,2023-03-04,5984,360,Apache License 2.0,402,1.0,15.0,Infrastructure
RSPapers,hongleizhang/RSPapers,"collaborative-filtering, deep-learning, deep-learning-based-rs, read-papers, recommender-system, social-recommendation, social-recommender, survey",A Curated List of Must-read Papers on Recommender System.,2018-01-30,5871,1318,MIT License,2261,1.0,3.0,Lists
llm,rustformers/llm,"ai, ggml, llm, ml, rust",An ecosystem of Rust libraries for working with large language models,2023-03-13,5807,333,Apache License 2.0,393,1.0,15.0,Model repo
rags,run-llama/rags,"agent, chatbot, chatgpt, gpts, llamaindex, llm, openai, rag, streamlit","Build ChatGPT over your data, all with natural language",2023-11-16,5801,575,MIT License,145,4.0,40.0,Model development
lit-llama,Lightning-AI/lit-llama,no topic,"Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.",2023-03-22,5751,496,Apache License 2.0,384,1.0,15.0,Model repo
chat-ui,huggingface/chat-ui,"chatgpt, hacktoberfest, huggingface, llm, svelte, svelte-kit, sveltekit, tailwindcss, typescript",Open source codebase powering the HuggingChat app,2023-02-17,5745,768,Apache License 2.0,417,2.0,14.0,Model repo
ipex-llm,intel-analytics/ipex-llm,"analytics-zoo, bigdl, distributed-deep-learning, keras, llm, python, pytorch, scala, spark, tensorflow, transformers","Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, etc.) on Intel CPU and GPU (e.g., local PC with iGPU, discrete GPU such as Arc, Flex and Max). A PyTorch LLM library that seamlessly integrates with llama.cpp, HuggingFace, LangChain, LlamaIndex, DeepSpeed, vLLM, FastChat, ModelScope, etc.",2016-08-29,5704,1186,Apache License 2.0,2780,0.0,2.0,Model development
litgpt,Lightning-AI/litgpt,no topic,"Pretrain, finetune, deploy 20+ LLMs on your own data. Uses state-of-the-art techniques: flash attention, FSDP, 4-bit, LoRA, and more.",2023-05-04,5701,604,Apache License 2.0,341,2.0,17.0,Model development
companion-app,a16z-infra/companion-app,no topic,AI companions with memory: a lightweight stack to create and host your own AI companions,2023-06-22,5615,915,MIT License,292,3.0,19.0,Model repo
unstructured,Unstructured-IO/unstructured,"data-pipelines, deep-learning, document-image-analysis, document-image-processing, document-parser, document-parsing, docx, donut, information-retrieval, langchain, llm, machine-learning, ml, natural-language-processing, nlp, ocr, pdf, pdf-to-json, pdf-to-text, preprocessing","Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ",2022-09-26,5605,410,Apache License 2.0,561,1.0,10.0,Model repo
SillyTavern,SillyTavern/SillyTavern,"ai, characters, chat, llm, openai",LLM Frontend for Power Users.,2023-02-09,5600,1746,GNU Affero General Public License v3.0,425,4.0,13.0,Model development
serge,serge-chat/serge,"alpaca, docker, fastapi, llama, llamacpp, nginx, python, svelte, sveltekit, tailwindcss, web","A web interface for chatting with Alpaca through llama.cpp. Fully dockerized, with an easy to use API.",2023-03-19,5518,394,Apache License 2.0,387,1.0,14.0,Applications
BERTopic,MaartenGr/BERTopic,"bert, ldavis, machine-learning, nlp, sentence-embeddings, topic, topic-modeling, topic-modelling, topic-models, transformers",Leveraging BERT and c-TF-IDF to create easily interpretable topics. ,2020-09-22,5481,687,MIT License,1295,1.0,4.0,Model development
LLaMA-Adapter,OpenGVLab/LLaMA-Adapter,no topic,[ICLR 2024] Fine-tuning LLaMA to follow Instructions within 1 Hour and 1.2M Parameters,2023-03-19,5454,356,GNU General Public License v3.0,387,1.0,14.0,Model development
FasterTransformer,NVIDIA/FasterTransformer,"bert, gpt, pytorch, transformer","Transformer related optimization, including BERT, GPT",2021-04-02,5406,852,Apache License 2.0,1103,1.0,5.0,Model development
Bard-API,dsdanielpark/Bard-API,"ai-api, api, bard, bard-api, chatbot, google, google-bard, google-bard-api, google-bard-python, google-maps-api, googlebard, llm, nlp",The unofficial python package that returns response of Google Bard through cookie value.,2023-05-11,5396,538,MIT License,334,2.0,16.0,Model repo
postgresml,postgresml/postgresml,"ai, ann, approximate-nearest-neighbor-search, artificial-intelligence, classification, clustering, embeddings, forecasting, javascript, knn, llm, machine-learning, ml, postgres, python, rag, regression, search, sql, vector-database","The GPU-powered AI application database. Get your app to market faster using the simplicity of SQL and the latest NLP, ML + LLM models.",2022-04-11,5379,252,MIT License,729,0.0,7.0,Applications
bitsandbytes,TimDettmers/bitsandbytes,no topic,Accessible large language models via k-bit quantization for PyTorch.,2021-06-04,5275,550,MIT License,1040,1.0,5.0,Model development
Github-Ranking,EvanLi/Github-Ranking,"forks, github-rank, github-stars, python, ranking, stars",:star:Github Ranking:star: Github stars and forks ranking list. Github Top100 stars list of different languages. Automatically update daily. | Github仓库排名，每日自动更新,2018-12-16,5193,380,MIT License,1941,0.0,3.0,Lists
chainlit,Chainlit/chainlit,"chatgpt, langchain, llm, openai, openai-chatgpt, python, ui",Build Conversational AI in minutes ⚡️,2023-03-14,5185,637,Apache License 2.0,392,2.0,13.0,Tutorials
generative-ai,GoogleCloudPlatform/generative-ai,"ai, embeddings, enterprise-search, gcp, gemini, gemini-api, generative, generative-ai, google-cloud, google-cloud-platform, langchain, llm, matching-engine, palm-api, prompt-engineering, vertex-ai, vertex-ai-gemini-api, vertex-ai-search, vertexai",Sample code and notebooks for Generative AI on Google Cloud,2023-05-05,5171,1196,Apache License 2.0,340,4.0,15.0,Model repo
bisheng,dataelement/bisheng,"agent, langchain, llm, llmdevops",Bisheng is an open LLM devops platform for next generation AI applications.,2023-08-28,5144,859,Apache License 2.0,225,4.0,23.0,Model repo
gemma.cpp,google/gemma.cpp,no topic,"lightweight, standalone C++ inference engine for Google's Gemma models.",2024-02-13,5139,446,Apache License 2.0,56,8.0,92.0,Model repo
Voyager,MineDojo/Voyager,"embodied-learning, large-language-models, minecraft, open-ended-learning",An Open-Ended Embodied Agent with Large Language Models,2023-05-25,5099,474,MIT License,320,1.0,16.0,Model development
llm-action,liguodongiot/llm-action,"llm, llm-inference, llm-serving, llm-training, llmops",本项目旨在分享大模型相关技术原理以及实战经验。,2023-05-23,5065,482,Apache License 2.0,322,1.0,16.0,Tutorials
InternLM,InternLM/InternLM,"chatbot, chinese, fine-tuning-llm, flash-attention, gpt, large-language-model, llm, long-context, pretrained-models, rlhf",Official release of InternLM2 7B and 20B base and chat models. 200K context support,2023-07-06,5055,372,Apache License 2.0,278,1.0,18.0,Model repo
xiaogpt,yihong0618/xiaogpt,"chatgpt, llms, python, xiaomi",Play ChatGPT and other LLM with Xiaomi AI Speaker,2023-02-16,5035,719,MIT License,418,2.0,12.0,Applications
gpt-fast,pytorch-labs/gpt-fast,no topic,Simple and efficient pytorch-native transformer text generation in <1000 LOC of python.,2023-10-17,5012,448,"BSD 3-Clause ""New"" or ""Revised"" License",175,3.0,29.0,Model development
OpenCopilot,openchatai/OpenCopilot,"ai-copilot, copilot, llm, sidekick",🤖 🔥 Language-to-actions engine ,2023-08-12,4845,356,MIT License,241,1.0,20.0,Model development
mlx-examples,ml-explore/mlx-examples,no topic,Examples in the MLX framework,2023-11-28,4775,686,MIT License,133,5.0,36.0,Model repo
CodeGen,salesforce/CodeGen,"codex, generativemodel, languagemodel, llm, programsynthesis, tpu-acceleration",CodeGen is a family of open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.,2022-03-28,4736,365,Apache License 2.0,743,0.0,6.0,Model repo
lm-evaluation-harness,EleutherAI/lm-evaluation-harness,"evaluation-framework, language-model, transformer",A framework for few-shot evaluation of language models.,2020-08-28,4726,1228,MIT License,1320,1.0,4.0,Model development
khoj,khoj-ai/khoj,"agent, ai, chat, chatgpt, emacs, llamacpp, llm, markdown, mistral, obsidian-md, offline-llm, org-mode, productivity, pwa, rag, retrieval-augmented-generation, self-hosted, semantic-search, sentence-transformer, whatsapp-ai","Your AI second brain. A copilot to search and chat (using RAG) with your knowledge base (pdf, markdown, org). Use powerful, online (e.g gpt4) or private, local (e.g mistral) LLMs. Self-host locally or use our web app. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp",2021-08-16,4701,230,GNU Affero General Public License v3.0,967,0.0,5.0,Applications
flyte,flyteorg/flyte,"data, data-analysis, data-science, dataops, declarative, fine-tuning, flyte, golang, grpc, kubernetes, kubernetes-operator, llm, machine-learning, mlops, orchestration-engine, production, production-grade, python, scale, workflow","Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",2019-10-21,4696,500,Apache License 2.0,1632,0.0,3.0,Infrastructure
plandex,plandex-ai/plandex,"ai, ai-agents, ai-developer-tools, ai-tools, cli, developer-tools, golang, gpt-4, llm, openai, polyglot-programming, terminal-based",An AI coding engine for complex tasks,2023-10-24,4664,270,GNU Affero General Public License v3.0,168,2.0,28.0,Model development
marvin,PrefectHQ/marvin,"agents, ai, ai-functions, ambient-ai, chatbots, gpt, llm, nli, openai, python",✨ Build AI interfaces that spark joy,2023-03-10,4644,297,Apache License 2.0,396,1.0,12.0,Applications
Awesome-GPT-Agents,fr0gger/Awesome-GPT-Agents,"agents, cybersecurity, infosec, llm",A curated list of GPT agents for cybersecurity,2023-11-11,4631,512,Apache License 2.0,150,3.0,31.0,Model repo
TaskWeaver,microsoft/TaskWeaver,"agent, ai-agents, code-interpreter, copilot, data-analysis, llm, openai",A code-first agent framework for seamlessly planning and executing data analytics tasks. ,2023-09-11,4573,584,MIT License,211,3.0,22.0,Model development
openui,wandb/openui,no topic,"OpenUI let's you describe UI using your imagination, then see it rendered live.",2024-03-17,4541,388,Apache License 2.0,23,17.0,197.0,Applications
awesome-generative-ai,steven2358/awesome-generative-ai,"ai, artificial-intelligence, awesome, awesome-list, generative-ai, generative-art, large-language-models, llm",A curated list of modern Generative Artificial Intelligence projects and services,2022-10-20,4517,469,Creative Commons Zero v1.0 Universal,537,1.0,8.0,Lists
FlagEmbedding,FlagOpen/FlagEmbedding,"embeddings, information-retrieval, llm, retrieval-augmented-generation, sentence-embeddings, text-semantic-similarity",Retrieval and Retrieval-augmented LLMs,2023-08-02,4506,295,MIT License,251,1.0,18.0,Model development
ai-notes,swyxio/ai-notes,"ai, gpt, gpt-3, multimodal, openai, prompt-engineering, stable-diffusion","notes for software engineers getting up to speed on new AI developments. Serves as datastore for https://latent.space writing, and product brainstorming, but has cleaned up canonical references under the /Resources folder.",2022-09-04,4466,338,MIT License,583,1.0,8.0,Tutorials
agents,aiwaves-cn/agents,"autonomous-agents, language-model, llm",An Open-source Framework for Autonomous Language Agents,2023-07-18,4458,332,Apache License 2.0,266,1.0,17.0,Model repo
awesome-typescript,dzharii/awesome-typescript,no topic,A collection of awesome TypeScript resources for client-side and server-side development. Write your awesome JavaScript in TypeScript,2015-06-06,4405,384,The Unlicense,3230,0.0,1.0,Lists
awesome-totally-open-chatgpt,nichtdax/awesome-totally-open-chatgpt,"alternative, awesome, awesome-list, awesome-lists, chatgpt, open-source",A list of totally open alternatives to ChatGPT,2023-03-18,4385,185,Creative Commons Zero v1.0 Universal,388,0.0,11.0,Lists
gateway,Portkey-AI/gateway,"ai-gateway, gateway, generative-ai, langchain, llama-index, llmops, llms, openai, prompt-engineering, router",A Blazing Fast AI Gateway. Route to 100+ LLMs with 1 fast & friendly API.,2023-08-23,4313,267,MIT License,230,1.0,19.0,Model repo
instructor,jxnl/instructor,"openai, openai-function-calli, openai-functions, pydantic-v2, python, validation",structured outputs for llms ,2023-06-14,4298,343,MIT License,300,1.0,14.0,Model development
RedPajama-Data,togethercomputer/RedPajama-Data,no topic,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,2023-04-14,4282,325,Apache License 2.0,361,1.0,12.0,Model repo
RWKV-Runner,josStorer/RWKV-Runner,"api, api-client, chatgpt, llm, rwkv, tool, wails","A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use.",2023-05-05,4258,396,MIT License,340,1.0,13.0,Model repo
superagent,superagent-ai/superagent,"agent, ai, assistant, generative-ai, llm, open-source, python, rag",🥷 Run AI-agents with an API,2023-05-10,4250,756,Other,335,2.0,13.0,Infrastructure
ragas,explodinggradients/ragas,"llm, llmops",Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,2023-05-08,4239,368,Apache License 2.0,337,1.0,13.0,Model development
Huatuo-Llama-Med-Chinese,SCIR-HI/Huatuo-Llama-Med-Chinese,"aidoctor, bloom, chinese, huozi, llama, llm, medgpt, medical, medqa, nlp","Repo for BenTsao [original name: HuaTuo (华驼)], Instruction-tuning Large Language Models with Chinese Medical Knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的大语言模型指令微调",2023-03-31,4196,406,Apache License 2.0,375,1.0,11.0,Model repo
CopilotKit,CopilotKit/CopilotKit,"ai, langchain, llm, nextjs, open-source, react, reactjs, ts, typescript","A framework for building custom AI Copilots 🤖 in-app AI chatbots, in-app AI Agents, & AI-powered Textareas.",2023-06-19,4167,319,MIT License,295,1.0,14.0,Applications
Learn_Prompting,trigaten/Learn_Prompting,"chatgpt, chatgpt-api, deep-learning, gpt-3, gpt-4, gpt-4-api, gpt3, large-language-models, llm, machine-learning, nlp, openai-api, prompt-engineering, prompt-toolkit, prompt-tuning, prompting, transformers","Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community",2022-10-25,4145,624,Other,532,1.0,8.0,Tutorials
awesome-pretrained-chinese-nlp-models,lonePatient/awesome-pretrained-chinese-nlp-models,"bert, chinese, dataset, ernie, gpt, gpt-2, large-language-models, llm, multimodel, nezha, nlp, nlu-nlg, pangu, pretrained-models, roberta, simbert, xlnet",Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,2019-05-25,4117,408,MIT License,1781,0.0,2.0,Model repo
awesome-gis,sshuair/awesome-gis,"awesome, geo, geospatial, geospatial-library, geotools, gis, map, spatial-analysis","😎Awesome GIS is a collection of geospatial related sources, including cartographic tools, geoanalysis tools, developer tools, data, conference & communities, news, massive open online course, some amazing map sites, and more.",2016-02-27,4099,691,MIT License,2964,0.0,1.0,Lists
tree-of-thought-llm,princeton-nlp/tree-of-thought-llm,"large-language-models, llm, prompting, tree-of-thoughts, tree-search",[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-05-17,4092,374,MIT License,328,1.0,12.0,Model development
x-transformers,lucidrains/x-transformers,"artificial-intelligence, attention-mechanism, deep-learning, transformers",A simple but complete full-attention transformer with a set of promising experimental features from various papers,2020-10-24,4076,351,MIT License,1263,0.0,3.0,Model development
start-machine-learning,louisfb01/start-machine-learning,"artificial-intelligence, cheat-sheets, course, coursera, coursera-machine-learning, data-science, deep-learning, learn-to-code, learning, learning-python, linear-algebra, machine-learning, neural-networks, practice, probability-statistics, read-articles, tutorial, tutorials, youtube, youtube-playlist","A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2024 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!",2020-09-24,4075,545,MIT License,1293,0.0,3.0,Tutorials
AppAgent,mnotgod96/AppAgent,"agent, chatgpt, generative-ai, gpt4, gpt4v, llm","AppAgent: Multimodal Agents as Smartphone Users, an LLM-based multimodal agent framework designed to operate smartphone apps.",2023-12-20,4053,426,MIT License,111,4.0,37.0,Model development
FedML,FedML-AI/FedML,"ai-agent, deep-learning, distributed-training, edge-ai, federated-learning, inference-engine, machine-learning, mlops, model-deployment, model-serving, on-device-training","FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, FEDML Nexus AI (https://fedml.ai) is your generative AI platform at scale.",2020-07-21,4042,758,Apache License 2.0,1358,1.0,3.0,Model repo
tree-of-thoughts,kyegomez/tree-of-thoughts,"artificial-intelligence, chatgpt, deep-learning, gpt4, multimodal, prompt, prompt-engineering, prompt-learning, prompt-tuning",Plug in and Play Implementation of Tree of Thoughts: Deliberate Problem Solving with Large Language Models that Elevates Model Reasoning by atleast 70% ,2023-05-21,4001,339,Apache License 2.0,324,1.0,12.0,Model development
GodMode,smol-ai/GodMode,"bard, chatgpt, electron, google, menubar","AI Chat Browser: Fast, Full webapp access to ChatGPT / Claude / Bard / Bing / Llama2! I use this 20 times a day.",2023-05-15,3977,297,MIT License,330,1.0,12.0,Applications
awesome-LLMs-In-China,wgwang/awesome-LLMs-In-China,no topic,中国大模型,2023-05-22,3972,344,Apache License 2.0,323,1.0,12.0,Model repo
serve,pytorch/serve,"cpu, deep-learning, docker, gpu, kubernetes, machine-learning, metrics, mlops, optimization, pytorch, serving","Serve, optimize and scale PyTorch models in production",2019-10-03,3935,800,Apache License 2.0,1650,0.0,2.0,Model development
GPT-4-LLM,Instruction-Tuning-with-GPT-4/GPT-4-LLM,"alpaca, chatgpt, gpt-4, instruction-tuning, llama",Instruction Tuning with GPT-4,2023-04-06,3927,287,Apache License 2.0,369,1.0,11.0,Tutorials
ai-getting-started,a16z-infra/ai-getting-started,no topic,"A Javascript AI getting started stack for weekend projects, including image/text models, vector stores, auth, and deployment configs",2023-06-16,3897,621,MIT License,298,2.0,13.0,Model repo
saas,async-labs/saas,"aws-s3, aws-ses, boilerplate, express, google-api, mailchimp, material-ui, mobx, mongodb, mongoose, nextjs, passport, react, saas, saas-boilerplate, saas-business, saas-product, typescript","Build your own SaaS business with SaaS boilerplate. Productive stack: React, Material-UI, Next, MobX, WebSockets, Express, Node, Mongoose, MongoDB. Written with TypeScript.",2018-04-06,3876,657,MIT License,2195,0.0,2.0,Model repo
TaskingAI,TaskingAI/TaskingAI,"agent, ai, ai-native, function-call, generative-ai, gpt, langchain, llm, rag, retrieval-augmented-generation, vector",The open source platform for AI-native application development.,2024-01-08,3829,220,Apache License 2.0,92,2.0,42.0,Infrastructure
Awesome-Geospatial,sacridini/Awesome-Geospatial,"awesome, awesome-list, data-analysis, deep-learning, earth-observation, geoprocessing, geospatial, geospatial-analysis, geotools, gis, machine-learning, map, remote-sensing, spatial-analysis, spatial-data",Long list of geospatial tools and resources,2016-05-06,3817,597,Creative Commons Zero v1.0 Universal,2895,0.0,1.0,Lists
gpt-llm-trainer,mshumer/gpt-llm-trainer,no topic,,2023-08-09,3704,461,MIT License,244,2.0,15.0,Unknown
lollms-webui,ParisNeo/lollms-webui,"ai, llm, text-generation",Lord of Large Language Models Web User Interface,2023-04-06,3681,468,Apache License 2.0,369,1.0,10.0,Model repo
